FileName,SubjectID,Class,Task,Split
1_5223023019_h_00,522,Intoxicated,address,train
0_0472044033_h_00,47,Sober,address,train
0_5654049037_h_00,565,Sober,address,train
2_5303031008_h_00,530,Intoxicated,address,train
0_0152033037_h_00,15,Sober,address,train
0_5684067033_h_00,568,Sober,address,train
1_0631064017_h_00,63,Intoxicated,address,train
2_5553056004_h_00,555,Intoxicated,address,train
4_5843085004_h_00,584,Intoxicated,address,train
0_0252013060_h_00,25,Sober,address,train
2_0781079004_h_00,78,Intoxicated,address,train
0_0362024019_h_00,36,Sober,address,train
4_5763077030_h_00,576,Intoxicated,address,train
0_5604058028_h_00,560,Sober,address,train
1_0691070004_h_00,69,Intoxicated,address,train
0_5784051039_h_00,578,Sober,address,train
0_0402034028_h_00,40,Sober,address,train
0_5814069039_h_00,581,Sober,address,train
1_5503051030_h_00,550,Intoxicated,address,train
0_5724061017_h_00,572,Sober,address,train
3_5473049030_h_00,547,Intoxicated,address,train
0_5504033028_h_00,550,Sober,address,train
0_0472044008_h_00,47,Sober,address,train
1_5613062013_h_00,561,Intoxicated,address,train
0_0302025060_h_00,30,Sober,address,train
3_0461047019_h_00,46,Intoxicated,address,train
0_5154007028_h_00,515,Sober,address,train
1_0121012013_h_00,12,Intoxicated,address,train
0_5484034017_h_00,548,Sober,address,train
0_5904072028_h_00,590,Sober,address,train
0_0821083008_h_00,82,Sober,address,train
0_0252013039_h_00,25,Sober,address,train
0_0991100008_h_00,99,Sober,address,train
0_0542046013_h_00,54,Sober,address,train
0_5494040008_h_00,549,Sober,address,train
3_5473049008_h_00,547,Intoxicated,address,train
0_5224014017_h_00,522,Sober,address,train
0_5654049008_h_00,565,Sober,address,train
0_0821083004_h_00,82,Sober,address,train
2_5173018030_h_00,517,Intoxicated,address,train
0_5574063028_h_00,557,Sober,address,train
0_5944079060_h_00,594,Sober,address,train
0_1032087008_h_00,103,Sober,address,train
1_5943095008_h_00,594,Intoxicated,address,train
0_1032087033_h_00,103,Sober,address,train
0_5844070060_h_00,584,Sober,address,train
0_0822063028_h_00,82,Sober,address,train
0_0392042039_h_00,39,Sober,address,train
0_0602049024_h_00,60,Sober,address,train
0_5054028019_h_00,505,Sober,address,train
3_5653066004_h_00,565,Intoxicated,address,train
1_0631064004_h_00,63,Intoxicated,address,train
0_0242012017_h_00,24,Sober,address,train
2_0251026013_h_00,25,Intoxicated,address,train
0_5214015017_h_00,521,Sober,address,train
1_5483044013_h_00,548,Intoxicated,address,train
2_5783079030_h_00,578,Intoxicated,address,train
2_5723073030_h_00,572,Intoxicated,address,train
0_0152033019_h_00,15,Sober,address,train
0_0112005037_h_00,11,Sober,address,train
0_5214015060_h_01,521,Sober,address,train
0_5054028028_h_00,505,Sober,address,train
0_5683069013_h_00,568,Sober,address,train
0_0632065028_h_00,63,Sober,address,train
0_5844070039_h_00,584,Sober,address,train
0_5184024008_h_00,518,Sober,address,train
0_5784051019_h_00,578,Sober,address,train
1_5613062004_h_00,561,Intoxicated,address,train
2_5903091013_h_00,590,Intoxicated,address,train
0_5504033013_h_00,550,Sober,address,train
0_5424030037_h_00,542,Sober,address,train
2_5153016008_h_00,515,Intoxicated,address,train
0_0692070060_h_00,69,Sober,address,train
0_5614043039_h_00,561,Sober,address,train
0_5494040019_h_00,549,Sober,address,train
0_0432062039_h_00,43,Sober,address,train
0_0912075033_h_00,91,Sober,address,train
0_5364044004_h_00,536,Sober,address,train
0_5063007004_h_00,506,Sober,address,train
2_0251026004_h_00,25,Intoxicated,address,train
0_5814069028_h_00,581,Sober,address,train
1_0361037008_h_00,36,Intoxicated,address,train
0_5904072019_h_00,590,Sober,address,train
0_5224014028_h_00,522,Sober,address,train
0_0902074039_h_00,90,Sober,address,train
1_5483044004_h_00,548,Intoxicated,address,train
0_5764052019_h_00,576,Sober,address,train
2_5783079019_h_00,578,Intoxicated,address,train
2_5333034017_h_00,533,Intoxicated,address,train
4_5763077017_h_00,576,Intoxicated,address,train
0_0302025019_h_00,30,Sober,address,train
0_0462037019_h_00,46,Sober,address,train
0_5494040004_h_00,549,Sober,address,train
2_5073008004_h_00,507,Intoxicated,address,train
2_5073008030_h_00,507,Intoxicated,address,train
0_0992084028_h_00,99,Sober,address,train
0_0392042008_h_00,39,Sober,address,train
0_5154007017_h_00,515,Sober,address,train
0_5054028017_h_00,505,Sober,address,train
3_5493050013_h_00,549,Intoxicated,address,train
0_0362024039_h_00,36,Sober,address,train
0_0892072060_h_00,89,Sober,address,train
0_0302025017_h_00,30,Sober,address,train
2_5233024019_h_00,523,Intoxicated,address,train
4_0861087008_h_00,86,Intoxicated,address,train
0_5114012008_h_00,511,Sober,address,train
0_0542046024_h_00,54,Sober,address,train
3_0461047013_h_00,46,Intoxicated,address,train
0_0992084024_h_00,99,Sober,address,train
0_5504033037_h_00,550,Sober,address,train
4_5763077004_h_00,576,Intoxicated,address,train
0_0822063039_h_00,82,Sober,address,train
0_0241025017_h_00,24,Sober,address,train
2_5333034019_h_00,533,Intoxicated,address,train
0_5904072037_h_00,590,Sober,address,train
2_5073008017_h_00,507,Intoxicated,address,train
0_0122031008_h_00,12,Sober,address,train
0_5784051024_h_00,578,Sober,address,train
0_0822063060_h_00,82,Sober,address,train
3_0301031013_h_00,30,Intoxicated,address,train
0_5654049013_h_00,565,Sober,address,train
0_5614043060_h_00,561,Sober,address,train
0_0112005004_h_00,11,Sober,address,train
0_1032087039_h_00,103,Sober,address,train
1_5453047030_h_00,545,Intoxicated,address,train
0_0462037024_h_00,46,Sober,address,train
0_0991100019_h_00,99,Sober,address,train
4_5843085030_h_00,584,Intoxicated,address,train
0_5484034019_h_00,548,Sober,address,train
0_0892072017_h_00,89,Sober,address,train
0_5224014008_h_00,522,Sober,address,train
0_5724061013_h_00,572,Sober,address,train
0_5814069060_h_00,581,Sober,address,train
1_0121012017_h_00,12,Intoxicated,address,train
0_5063007017_h_00,506,Sober,address,train
0_0432062024_h_00,43,Sober,address,train
4_5763077008_h_00,576,Intoxicated,address,train
0_5844070024_h_00,584,Sober,address,train
0_5504033004_h_00,550,Sober,address,train
0_5894077039_h_00,589,Sober,address,train
0_5944079039_h_00,594,Sober,address,train
0_0392042004_h_00,39,Sober,address,train
0_5334021024_h_00,533,Sober,address,train
2_0251026017_h_00,25,Intoxicated,address,train
1_5223023004_h_00,522,Intoxicated,address,train
1_0631064008_h_00,63,Intoxicated,address,train
2_5553056013_h_00,555,Intoxicated,address,train
0_5234023037_h_00,523,Sober,address,train
4_0601061017_h_00,60,Intoxicated,address,train
0_0902074017_h_00,90,Sober,address,train
0_5574063033_h_00,557,Sober,address,train
0_5184024033_h_00,518,Sober,address,train
0_5944079004_h_00,594,Sober,address,train
0_0892072013_h_00,89,Sober,address,train
4_0911092019_h_00,91,Intoxicated,address,train
0_1032087019_h_00,103,Sober,address,train
4_0861087017_h_00,86,Intoxicated,address,train
2_0401041004_h_00,40,Intoxicated,address,train
4_0891090019_h_00,89,Intoxicated,address,train
0_5574063019_h_00,557,Sober,address,train
0_0952080037_h_00,95,Sober,address,train
0_5214015008_h_00,521,Sober,address,train
0_5214015024_h_00,521,Sober,address,train
0_0152033060_h_00,15,Sober,address,train
4_0861087004_h_00,86,Intoxicated,address,train
0_0241025008_h_00,24,Sober,address,train
2_1031104013_h_00,103,Intoxicated,address,train
2_5263027013_h_00,526,Intoxicated,address,train
0_0242012037_h_00,24,Sober,address,train
3_0701071013_h_00,70,Intoxicated,address,train
4_5843085017_h_00,584,Intoxicated,address,train
0_0472044019_h_00,47,Sober,address,train
0_0952080039_h_00,95,Sober,address,train
0_5074005033_h_00,507,Sober,address,train
1_5483044030_h_00,548,Intoxicated,address,train
0_5224014060_h_00,522,Sober,address,train
0_5174013019_h_00,517,Sober,address,train
0_5813082008_h_00,581,Sober,address,train
0_0892072004_h_00,89,Sober,address,train
0_5474039060_h_00,547,Sober,address,train
0_5684067060_h_00,568,Sober,address,train
0_0912075019_h_00,91,Sober,address,train
0_5114012060_h_00,511,Sober,address,train
0_5614043013_h_00,561,Sober,address,train
2_5263027017_h_00,526,Intoxicated,address,train
1_0691070017_h_00,69,Intoxicated,address,train
0_0302025008_h_00,30,Sober,address,train
0_5174013033_h_00,517,Sober,address,train
0_0632065037_h_00,63,Sober,address,train
0_0822063037_h_00,82,Sober,address,train
0_5724061033_h_00,572,Sober,address,train
0_0382027024_h_00,38,Sober,address,train
0_5184024024_h_00,518,Sober,address,train
0_5894077033_h_00,589,Sober,address,train
0_0502040028_h_00,50,Sober,address,train
0_5064006013_h_00,506,Sober,address,train
1_5943095030_h_00,594,Intoxicated,address,train
1_5183019019_h_00,518,Intoxicated,address,train
0_0432062017_h_00,43,Sober,address,train
0_5604058024_h_00,560,Sober,address,train
0_5604058060_h_00,560,Sober,address,train
0_0382027037_h_00,38,Sober,address,train
2_5173018004_h_00,517,Intoxicated,address,train
1_5113012019_h_00,511,Intoxicated,address,train
1_5183019013_h_00,518,Intoxicated,address,train
0_5474039037_h_00,547,Sober,address,train
0_0122031039_h_00,12,Sober,address,train
2_5603061004_h_00,560,Intoxicated,address,train
0_0122031037_h_00,12,Sober,address,train
0_5304022008_h_00,530,Sober,address,train
0_5184024039_h_00,518,Sober,address,train
2_5783079013_h_00,578,Intoxicated,address,train
0_5484034039_h_00,548,Sober,address,train
0_0472044017_h_00,47,Sober,address,train
0_5904072004_h_00,590,Sober,address,train
3_5653066019_h_00,565,Intoxicated,address,train
4_0901091004_h_00,90,Intoxicated,address,train
3_0541055030_h_00,54,Intoxicated,address,train
2_0391040017_h_00,39,Intoxicated,address,train
0_5574063037_h_00,557,Sober,address,train
0_1032087028_h_00,103,Sober,address,train
1_5573058004_h_00,557,Intoxicated,address,train
0_5264027013_h_00,526,Sober,address,train
0_0252013019_h_00,25,Sober,address,train
0_5604058013_h_00,560,Sober,address,train
1_0501051019_h_00,50,Intoxicated,address,train
0_5334021037_h_00,533,Sober,address,train
0_5784051004_h_00,578,Sober,address,train
0_5474039017_h_00,547,Sober,address,train
0_5224014037_h_00,522,Sober,address,train
3_0431044019_h_00,43,Intoxicated,address,train
0_0862083024_h_02,86,Sober,address,train
0_0362024008_h_00,36,Sober,address,train
1_0221023008_h_00,22,Intoxicated,address,train
0_0382027039_h_00,38,Sober,address,train
3_0701071030_h_00,70,Intoxicated,address,train
0_5954081028_h_00,595,Sober,address,train
0_5814069024_h_00,581,Sober,address,train
0_1032087024_h_00,103,Sober,address,train
2_5723073008_h_00,572,Intoxicated,address,train
0_5063007030_h_00,506,Sober,address,train
0_5474039013_h_00,547,Sober,address,train
1_0221023030_h_00,22,Intoxicated,address,train
0_0952080024_h_00,95,Sober,address,train
1_5953096008_h_00,595,Intoxicated,address,train
2_5303031017_h_00,530,Intoxicated,address,train
0_0402034017_h_00,40,Sober,address,train
0_0992084004_h_00,99,Sober,address,train
0_5844070013_h_00,584,Sober,address,train
0_5504033008_h_00,550,Sober,address,train
0_5904072060_h_00,590,Sober,address,train
0_5304022024_h_00,530,Sober,address,train
1_0691070019_h_00,69,Intoxicated,address,train
2_5233024013_h_00,523,Intoxicated,address,train
0_5814069004_h_00,581,Sober,address,train
0_5904072024_h_00,590,Sober,address,train
0_5334021004_h_00,533,Sober,address,train
0_5574063024_h_00,557,Sober,address,train
0_5484034028_h_00,548,Sober,address,train
3_5053006019_h_00,505,Intoxicated,address,train
0_0402034039_h_00,40,Sober,address,train
0_5494040060_h_00,549,Sober,address,train
0_5174013039_h_00,517,Sober,address,train
0_0782059004_h_00,78,Sober,address,train
3_0431044013_h_00,43,Intoxicated,address,train
0_0242012013_h_00,24,Sober,address,train
0_5574063004_h_00,557,Sober,address,train
0_5064006033_h_00,506,Sober,address,train
2_0381039004_h_00,38,Intoxicated,address,train
3_5053006004_h_00,505,Intoxicated,address,train
1_5573058030_h_00,557,Intoxicated,address,train
0_5614043024_h_00,561,Sober,address,train
0_0382027013_h_00,38,Sober,address,train
0_0992084019_h_00,99,Sober,address,train
0_0632065017_h_00,63,Sober,address,train
1_5183019017_h_00,518,Intoxicated,address,train
0_5224014019_h_00,522,Sober,address,train
1_5623063008_h_00,562,Intoxicated,address,train
0_0862083028_h_00,86,Sober,address,train
0_0702064037_h_00,70,Sober,address,train
0_5154007033_h_00,515,Sober,address,train
0_5814069019_h_00,581,Sober,address,train
1_5453047013_h_00,545,Intoxicated,address,train
1_5213022019_h_00,521,Intoxicated,address,train
0_0902074033_h_00,90,Sober,address,train
0_5174013008_h_00,517,Sober,address,train
0_0892072019_h_00,89,Sober,address,train
0_5114012019_h_00,511,Sober,address,train
0_5054028024_h_00,505,Sober,address,train
0_0902074013_h_00,90,Sober,address,train
4_5843085008_h_00,584,Intoxicated,address,train
0_5504033017_h_00,550,Sober,address,train
0_5454050017_h_00,545,Sober,address,train
4_5843085019_h_00,584,Intoxicated,address,train
1_5483044017_h_00,548,Intoxicated,address,train
0_0152033017_h_00,15,Sober,address,train
0_0362024013_h_00,36,Sober,address,train
2_5333034004_h_00,533,Intoxicated,address,train
0_0782059024_h_00,78,Sober,address,train
0_0542046037_h_00,54,Sober,address,train
0_5844070033_h_00,584,Sober,address,train
2_5893090030_h_00,589,Intoxicated,address,train
0_5454050013_h_00,545,Sober,address,train
0_0462037037_h_00,46,Sober,address,train
0_5554046013_h_00,555,Sober,address,train
1_5623063019_h_00,562,Intoxicated,address,train
3_5653066008_h_00,565,Intoxicated,address,train
4_0891090013_h_00,89,Intoxicated,address,train
0_5154007004_h_00,515,Sober,address,train
0_5424030060_h_00,542,Sober,address,train
0_5814069013_h_00,581,Sober,address,train
0_0862083019_h_00,86,Sober,address,train
0_5264027060_h_00,526,Sober,address,train
0_5494040039_h_00,549,Sober,address,train
0_5504033060_h_00,550,Sober,address,train
0_0302025024_h_00,30,Sober,address,train
0_5234023039_h_00,523,Sober,address,train
0_5944079033_h_00,594,Sober,address,train
0_5784051033_h_00,578,Sober,address,train
1_0221023019_h_00,22,Intoxicated,address,train
0_0542046017_h_00,54,Sober,address,train
0_0702064039_h_00,70,Sober,address,train
4_0911092013_h_00,91,Intoxicated,address,train
2_5553056017_h_00,555,Intoxicated,address,train
0_5604058019_h_00,560,Sober,address,train
0_0782059019_h_00,78,Sober,address,train
1_0361037004_h_00,36,Intoxicated,address,train
0_0392042033_h_00,39,Sober,address,train
0_0952080004_h_00,95,Sober,address,train
1_5483044019_h_00,548,Intoxicated,address,train
0_0602049019_h_00,60,Sober,address,train
0_5684067019_h_00,568,Sober,address,train
0_5724061060_h_00,572,Sober,address,train
0_5844070028_h_00,584,Sober,address,train
0_0462037004_h_00,46,Sober,address,train
0_0822063017_h_00,82,Sober,address,train
0_0862083008_h_00,86,Sober,address,train
0_0111011030_h_00,11,Sober,address,train
0_0542046019_h_00,54,Sober,address,train
1_0121012008_h_00,12,Intoxicated,address,train
0_0242012024_h_00,24,Sober,address,train
0_0991100017_h_00,99,Sober,address,train
1_5943095019_h_00,594,Intoxicated,address,train
0_0702064024_h_00,70,Sober,address,train
0_0252013037_h_00,25,Sober,address,train
0_5184024019_h_00,518,Sober,address,train
0_5064006017_h_00,506,Sober,address,train
0_5654049019_h_00,565,Sober,address,train
0_5724061008_h_00,572,Sober,address,train
0_5894077019_h_00,589,Sober,address,train
0_5654049060_h_00,565,Sober,address,train
0_0902074037_h_00,90,Sober,address,train
0_0152033033_h_00,15,Sober,address,train
1_5503051008_h_00,550,Intoxicated,address,train
0_5154007019_h_00,515,Sober,address,train
0_5064006024_h_00,506,Sober,address,train
1_5573058013_h_00,557,Intoxicated,address,train
0_0692070028_h_00,69,Sober,address,train
0_5474039033_h_00,547,Sober,address,train
1_0121012030_h_00,12,Intoxicated,address,train
0_0152033008_h_00,15,Sober,address,train
0_0222018060_h_00,22,Sober,address,train
2_5723073017_h_00,572,Intoxicated,address,train
0_5904072033_h_00,590,Sober,address,train
0_0782059033_h_00,78,Sober,address,train
0_5494040033_h_00,549,Sober,address,train
4_0901091008_h_00,90,Intoxicated,address,train
0_0111011008_h_00,11,Sober,address,train
0_5214015019_h_00,521,Sober,address,train
0_5904072013_h_00,590,Sober,address,train
2_5783079017_h_00,578,Intoxicated,address,train
0_0382027033_h_00,38,Sober,address,train
0_5764052008_h_00,576,Sober,address,train
4_0911092008_h_00,91,Intoxicated,address,train
0_0112005008_h_00,11,Sober,address,train
0_5724061019_h_00,572,Sober,address,train
0_5074005017_h_00,507,Sober,address,train
0_5304022013_h_00,530,Sober,address,train
0_5074005037_h_00,507,Sober,address,train
0_5764052028_h_00,576,Sober,address,train
0_5474039024_h_00,547,Sober,address,train
0_5234023013_h_00,523,Sober,address,train
0_0602049033_h_00,60,Sober,address,train
0_0952080019_h_00,95,Sober,address,train
0_0822063004_h_00,82,Sober,address,train
3_0541055013_h_00,54,Intoxicated,address,train
2_1031104030_h_00,103,Intoxicated,address,train
0_0542046039_h_00,54,Sober,address,train
0_5074005008_h_00,507,Sober,address,train
0_5064006008_h_00,506,Sober,address,train
2_0781079019_h_00,78,Intoxicated,address,train
0_5114012037_h_00,511,Sober,address,train
0_0252013013_h_00,25,Sober,address,train
0_5364044037_h_00,536,Sober,address,train
0_1032087004_h_00,103,Sober,address,train
0_0302025028_h_00,30,Sober,address,train
0_0502040060_h_00,50,Sober,address,train
0_5054028008_h_00,505,Sober,address,train
0_0392042019_h_00,39,Sober,address,train
3_0541055004_h_00,54,Intoxicated,address,train
0_0892072028_h_00,89,Sober,address,train
0_5304022004_h_00,530,Sober,address,train
3_0301031019_h_00,30,Intoxicated,address,train
3_5473049019_h_00,547,Intoxicated,address,train
0_0502040037_h_00,50,Sober,address,train
0_5214015039_h_00,521,Sober,address,train
0_0252013033_h_00,25,Sober,address,train
0_0242012028_h_00,24,Sober,address,train
0_0822063008_h_00,82,Sober,address,train
0_5954081039_h_00,595,Sober,address,train
4_0891090004_h_00,89,Intoxicated,address,train
2_5263027008_h_00,526,Intoxicated,address,train
0_5494040017_h_00,549,Sober,address,train
2_5173018019_h_00,517,Intoxicated,address,train
1_5573058008_h_00,557,Intoxicated,address,train
1_5623063030_h_00,562,Intoxicated,address,train
0_0111011017_h_00,11,Sober,address,train
3_5423043004_h_00,542,Intoxicated,address,train
4_0891090030_h_00,89,Intoxicated,address,train
0_0902074008_h_00,90,Sober,address,train
1_5213022008_h_00,521,Intoxicated,address,train
2_5903091030_h_00,590,Intoxicated,address,train
3_5053006013_h_00,505,Intoxicated,address,train
0_0862083013_h_00,86,Sober,address,train
0_5904072008_h_00,590,Sober,address,train
0_5554046019_h_00,555,Sober,address,train
1_0361037013_h_00,36,Intoxicated,address,train
3_0951096013_h_00,95,Intoxicated,address,train
0_0462037013_h_00,46,Sober,address,train
0_5624065008_h_00,562,Sober,address,train
0_5224014004_h_00,522,Sober,address,train
0_5334021017_h_00,533,Sober,address,train
1_0631064030_h_00,63,Intoxicated,address,train
2_5173018013_h_00,517,Intoxicated,address,train
0_0472044004_h_00,47,Sober,address,train
2_0781079030_h_00,78,Intoxicated,address,train
2_0391040008_h_00,39,Intoxicated,address,train
0_0122031013_h_00,12,Sober,address,train
0_5454050024_h_00,545,Sober,address,train
4_0471048017_h_00,47,Intoxicated,address,train
2_0401041013_h_00,40,Intoxicated,address,train
0_5304022037_h_00,530,Sober,address,train
0_5474039008_h_00,547,Sober,address,train
2_5893090004_h_00,589,Intoxicated,address,train
2_5553056008_h_00,555,Intoxicated,address,train
4_0471048008_h_00,47,Intoxicated,address,train
0_1032087017_h_00,103,Sober,address,train
0_0702064013_h_00,70,Sober,address,train
2_5893090017_h_00,589,Intoxicated,address,train
0_0702064004_h_00,70,Sober,address,train
1_0221023004_h_00,22,Intoxicated,address,train
0_0122031033_h_00,12,Sober,address,train
1_5113012004_h_00,511,Intoxicated,address,train
0_5484034013_h_00,548,Sober,address,train
0_0382027017_h_00,38,Sober,address,train
0_5954081019_h_00,595,Sober,address,train
2_5073008013_h_00,507,Intoxicated,address,train
0_5954081037_h_00,595,Sober,address,train
0_0821083030_h_00,82,Sober,address,train
0_5724061037_h_00,572,Sober,address,train
3_5473049013_h_00,547,Intoxicated,address,train
2_5893090013_h_00,589,Intoxicated,address,train
0_5954081013_h_00,595,Sober,address,train
0_0462037008_h_00,46,Sober,address,train
0_0502040013_h_00,50,Sober,address,train
0_5624065024_h_00,562,Sober,address,train
1_5183019008_h_00,518,Intoxicated,address,train
0_5894077017_h_00,589,Sober,address,train
0_5944079008_h_00,594,Sober,address,train
0_5764052024_h_00,576,Sober,address,train
1_5943095013_h_00,594,Intoxicated,address,train
2_5263027019_h_00,526,Intoxicated,address,train
1_5113012013_h_00,511,Intoxicated,address,train
3_5493050008_h_00,549,Intoxicated,address,train
2_5153016030_h_00,515,Intoxicated,address,train
0_5844070019_h_00,584,Sober,address,train
0_5554046008_h_00,555,Sober,address,train
2_5893090008_h_00,589,Intoxicated,address,train
0_0702064028_h_00,70,Sober,address,train
1_0361037017_h_00,36,Intoxicated,address,train
1_5223023013_h_00,522,Intoxicated,address,train
4_0601061008_h_00,60,Intoxicated,address,train
0_5184024013_h_00,518,Sober,address,train
0_0702064019_h_00,70,Sober,address,train
0_5604058008_h_00,560,Sober,address,train
0_0692070024_h_00,69,Sober,address,train
0_0502040008_h_00,50,Sober,address,train
1_0361037030_h_00,36,Intoxicated,address,train
2_0151015004_h_00,15,Intoxicated,address,train
0_0222018008_h_00,22,Sober,address,train
0_5894077004_h_00,589,Sober,address,train
1_0221023013_h_00,22,Intoxicated,address,train
3_5493050030_h_01,549,Intoxicated,address,train
0_5494040024_h_00,549,Sober,address,train
0_5304022060_h_00,530,Sober,address,train
0_5234023024_h_00,523,Sober,address,train
0_5954081033_h_00,595,Sober,address,train
0_5264027004_h_00,526,Sober,address,train
0_0632065024_h_00,63,Sober,address,train
0_5064006039_h_00,506,Sober,address,train
0_5114012028_h_00,511,Sober,address,train
0_0992084008_h_00,99,Sober,address,train
1_5363037008_h_00,536,Intoxicated,address,train
2_5903091004_h_00,590,Intoxicated,address,train
0_0692070033_h_00,69,Sober,address,train
3_0301031017_h_00,30,Intoxicated,address,train
0_5954081017_h_00,595,Sober,address,train
2_5903091017_h_00,590,Intoxicated,address,train
0_5054028037_h_00,505,Sober,address,train
0_0462037033_h_00,46,Sober,address,train
0_0402034060_h_00,40,Sober,address,train
0_5484034033_h_00,548,Sober,address,train
0_0542046028_h_00,54,Sober,address,train
0_5184024017_h_00,518,Sober,address,train
0_0632065013_h_00,63,Sober,address,train
0_0602049037_h_00,60,Sober,address,train
0_5624065033_h_00,562,Sober,address,train
3_0541055008_h_00,54,Intoxicated,address,train
0_0702064008_h_00,70,Sober,address,train
0_5504033019_h_00,550,Sober,address,train
0_0782059008_h_00,78,Sober,address,train
0_0822063024_h_00,82,Sober,address,train
0_0632065004_h_00,63,Sober,address,train
2_0381039008_h_00,38,Intoxicated,address,train
0_5154007039_h_00,515,Sober,address,train
0_5904072039_h_00,590,Sober,address,train
2_0401041008_h_00,40,Intoxicated,address,train
0_0992084013_h_00,99,Sober,address,train
0_0241025019_h_00,24,Sober,address,train
0_5364044013_h_00,536,Sober,address,train
0_5764052017_h_00,576,Sober,address,train
0_0782059017_h_00,78,Sober,address,train
3_5493050017_h_00,549,Intoxicated,address,train
0_0252013024_h_00,25,Sober,address,train
0_0242012039_h_00,24,Sober,address,train
2_5783079004_h_00,578,Intoxicated,address,train
0_0392042028_h_00,39,Sober,address,train
0_0112005060_h_00,11,Sober,address,train
0_5074005060_h_00,507,Sober,address,train
0_5454050060_h_00,545,Sober,address,train
0_0122031004_h_00,12,Sober,address,train
2_5303031019_h_00,530,Intoxicated,address,train
3_5423043019_h_00,542,Intoxicated,address,train
0_5684067028_h_00,568,Sober,address,train
0_5954081024_h_00,595,Sober,address,train
